name,Time,Max Constructability,name,Time,Mean Constructability
Max Constructability,0,0,Mean Constructability,0,0
Max Constructability,6,0.900542023,Mean Constructability,6,0.726333412
Max Constructability,11,0.90976021,Mean Constructability,11,0.725502395
Max Constructability,16,0.925747518,Mean Constructability,16,0.724689135
Max Constructability,21,0.910551037,Mean Constructability,21,0.723891961
Max Constructability,26,0.906367795,Mean Constructability,26,0.723076297
Max Constructability,31,0.923033996,Mean Constructability,31,0.722276708
Max Constructability,36,0.891891267,Mean Constructability,36,0.721463595
Max Constructability,41,0.897547891,Mean Constructability,41,0.720687588
Max Constructability,46,0.887665464,Mean Constructability,46,0.719907349
Max Constructability,51,0.884168312,Mean Constructability,51,0.719117132
Max Constructability,56,0.886948406,Mean Constructability,56,0.718312567
Max Constructability,61,0.901585269,Mean Constructability,61,0.717525551
Max Constructability,66,0.906558679,Mean Constructability,66,0.716728763
Max Constructability,71,0.893928598,Mean Constructability,71,0.715918087
Max Constructability,76,0.88442178,Mean Constructability,76,0.715091826
Max Constructability,81,0.884414007,Mean Constructability,81,0.714265249
Max Constructability,86,0.882810191,Mean Constructability,86,0.713441503
Max Constructability,91,0.889811518,Mean Constructability,91,0.712611901
Max Constructability,96,0.884141194,Mean Constructability,96,0.711765009
Max Constructability,101,0.877287303,Mean Constructability,101,0.710921174
Max Constructability,106,0.873881098,Mean Constructability,106,0.71006735
Max Constructability,111,0.880062137,Mean Constructability,111,0.709222413
Max Constructability,116,0.891894837,Mean Constructability,116,0.708352598
Max Constructability,121,0.894150929,Mean Constructability,121,0.707482059
Max Constructability,126,0.86906274,Mean Constructability,126,0.706637354
Max Constructability,131,0.873202729,Mean Constructability,131,0.705778373
Max Constructability,136,0.8739717,Mean Constructability,136,0.704895817
Max Constructability,141,0.888774787,Mean Constructability,141,0.704009768
Max Constructability,146,0.869976783,Mean Constructability,146,0.703141668
Max Constructability,151,0.879168117,Mean Constructability,151,0.702274197
Max Constructability,156,0.877944109,Mean Constructability,156,0.701395501
Max Constructability,161,0.86550903,Mean Constructability,161,0.700495354
Max Constructability,166,0.8647426,Mean Constructability,166,0.699617817
Max Constructability,171,0.855986931,Mean Constructability,171,0.698718943
Max Constructability,176,0.8628016,Mean Constructability,176,0.697805622
Max Constructability,181,0.884565007,Mean Constructability,181,0.696907088
Max Constructability,186,0.858537812,Mean Constructability,186,0.695974754
Max Constructability,191,0.87505913,Mean Constructability,191,0.695030547
Max Constructability,196,0.84921035,Mean Constructability,196,0.694088182
Max Constructability,201,0.856664254,Mean Constructability,201,0.693170666
Max Constructability,206,0.8544036,Mean Constructability,206,0.692236581
Max Constructability,211,0.846354372,Mean Constructability,211,0.691296517
Max Constructability,216,0.855013734,Mean Constructability,216,0.690308387
Max Constructability,221,0.852457974,Mean Constructability,221,0.689323223
Max Constructability,226,0.849135619,Mean Constructability,226,0.688326004
Max Constructability,231,0.847153309,Mean Constructability,231,0.687317523
Max Constructability,236,0.847656581,Mean Constructability,236,0.686279711
Max Constructability,241,0.848543346,Mean Constructability,241,0.685243552
Max Constructability,246,0.860041874,Mean Constructability,246,0.684199619
Max Constructability,251,0.845583933,Mean Constructability,251,0.683131489
Max Constructability,256,0.845821018,Mean Constructability,256,0.682062548
Max Constructability,261,0.858270753,Mean Constructability,261,0.681016137
Max Constructability,266,0.838517273,Mean Constructability,266,0.679962917
Max Constructability,271,0.841108331,Mean Constructability,271,0.678854929
Max Constructability,276,0.829107941,Mean Constructability,276,0.677732623
Max Constructability,281,0.827805453,Mean Constructability,281,0.676625727
Max Constructability,286,0.832770901,Mean Constructability,286,0.675502512
Max Constructability,291,0.836342465,Mean Constructability,291,0.674356172
Max Constructability,296,0.834657525,Mean Constructability,296,0.673169916
Max Constructability,301,0.836431419,Mean Constructability,301,0.672159185
Max Constructability,306,0.817483582,Mean Constructability,306,0.67162834
Max Constructability,311,0.820321126,Mean Constructability,311,0.671389588
Max Constructability,316,0.820062321,Mean Constructability,316,0.671186232
Max Constructability,321,0.822861949,Mean Constructability,321,0.671059026
Max Constructability,326,0.82187459,Mean Constructability,326,0.670938914
Max Constructability,331,0.821888903,Mean Constructability,331,0.670825307
Max Constructability,336,0.822577594,Mean Constructability,336,0.670744426
Max Constructability,341,0.817288171,Mean Constructability,341,0.670682419
Max Constructability,346,0.811084382,Mean Constructability,346,0.670629547
Max Constructability,351,0.824841872,Mean Constructability,351,0.670597572
Max Constructability,356,0.799963781,Mean Constructability,356,0.670592111
Max Constructability,361,0.799963781,Mean Constructability,361,0.670592111
Max Constructability,366,0.799963781,Mean Constructability,366,0.670592111
Max Constructability,371,0.799963781,Mean Constructability,371,0.670592111
Max Constructability,376,0.799963781,Mean Constructability,376,0.670592111
Max Constructability,381,0.799963781,Mean Constructability,381,0.670592111
Max Constructability,386,0.799963781,Mean Constructability,386,0.670592111
Max Constructability,391,0.799963781,Mean Constructability,391,0.670592111
Max Constructability,396,0.799963781,Mean Constructability,396,0.670592111
Max Constructability,401,0.799963781,Mean Constructability,401,0.670592111
Max Constructability,406,0.799963781,Mean Constructability,406,0.670592111
Max Constructability,411,0.799963781,Mean Constructability,411,0.670592111
Max Constructability,416,0.799963781,Mean Constructability,416,0.670592111
Max Constructability,421,0.799963781,Mean Constructability,421,0.670592111
Max Constructability,426,0.799963781,Mean Constructability,426,0.670592111
Max Constructability,431,0.799963781,Mean Constructability,431,0.670592111
Max Constructability,436,0.799963781,Mean Constructability,436,0.670592111
Max Constructability,441,0.799963781,Mean Constructability,441,0.670592111
Max Constructability,446,0.799963781,Mean Constructability,446,0.670592111
Max Constructability,451,0.799963781,Mean Constructability,451,0.670592111
Max Constructability,456,0.799963781,Mean Constructability,456,0.670592111
Max Constructability,461,0.799963781,Mean Constructability,461,0.670592111
Max Constructability,466,0.799963781,Mean Constructability,466,0.670592111
Max Constructability,471,0.799963781,Mean Constructability,471,0.670592111
Max Constructability,476,0.799963781,Mean Constructability,476,0.670592111
Max Constructability,481,0.799963781,Mean Constructability,481,0.670592111
Max Constructability,486,0.799963781,Mean Constructability,486,0.670592111
Max Constructability,491,0.799963781,Mean Constructability,491,0.670592111
Max Constructability,496,0.799963781,Mean Constructability,496,0.670592111
Max Constructability,501,0.799963781,Mean Constructability,501,0.670592111
Max Constructability,506,0.799963781,Mean Constructability,506,0.670592111
Max Constructability,511,0.799963781,Mean Constructability,511,0.670592111
